Term,Coefficient,Signal
bowl,3.015477612060034,Return-indicative
food,-2.9565350413585554,Normal-indicative
milk,2.955398297240202,Return-indicative
pan,-2.904699998115895,Normal-indicative
baby,-2.8229788288519226,Normal-indicative
herb marker,-2.80740881136404,Normal-indicative
72 retrospot,2.716426059864497,Return-indicative
toy,-2.70226147519726,Normal-indicative
blue polkadot,2.6826017789778747,Return-indicative
tin,2.6810737800216584,Return-indicative
cotton,-2.6206878153520003,Normal-indicative
tier,-2.6049354787473353,Normal-indicative
natural,-2.5749374634706266,Normal-indicative
can,2.555079265167417,Return-indicative
jumbo shopper,2.4912743444678287,Return-indicative
pink vintage,2.403561631656127,Return-indicative
design,2.3452358811215137,Return-indicative
magnets,2.322903404011689,Return-indicative
bag vintage,2.2850624148376575,Return-indicative
vintage christmas,-2.2392679821249732,Normal-indicative
birthday card,-2.2256922457556074,Normal-indicative
bird,-2.16218381652333,Normal-indicative
pink polkadot,-2.1600547093366798,Normal-indicative
gin,-2.1597376632253242,Normal-indicative
pears,2.153210541970562,Return-indicative
flower,-2.145011933298082,Normal-indicative
jack,2.1434301534402636,Return-indicative
union jack,2.1434301534402636,Return-indicative
and saucer,2.140005317033553,Return-indicative
antique,-2.1297226737462864,Normal-indicative
night,-2.097708584811631,Normal-indicative
decoration,-2.094771793697092,Normal-indicative
classic,-2.0848378183900413,Normal-indicative
with,2.07275768025578,Return-indicative
party bunting,2.049575793834029,Return-indicative
paisley,-2.0390045642269103,Normal-indicative
beaker,2.015777764882357,Return-indicative
edwardian parasol,-1.9915247882103808,Normal-indicative
union flag,-1.957946385657378,Normal-indicative
floral,-1.9239337850128158,Normal-indicative
star,1.9185997984810728,Return-indicative
jumbo,-1.9140988428837742,Normal-indicative
natural slate,1.879602707543148,Return-indicative
dish,-1.8652202915857683,Normal-indicative
ivory,-1.8473988727912487,Normal-indicative
roll,-1.8432419692753135,Normal-indicative
tape,-1.821286504406514,Normal-indicative
tissue box,-1.8088154379815502,Normal-indicative
childs,1.8052631529373973,Return-indicative
kids,1.7806257881109049,Return-indicative
of 60,-1.7763667605799105,Normal-indicative
london,1.7473044257755606,Return-indicative
chalkboard,-1.745885529290264,Normal-indicative
victorian,1.7414539675399794,Return-indicative
boxes,1.7145338295948314,Return-indicative
plasters,1.6949351404247108,Return-indicative
plasters in,1.6949351404247108,Return-indicative
treasure,-1.6698458185905856,Normal-indicative
love,-1.6521672606138105,Normal-indicative
cookie cutters,1.6489245965265806,Return-indicative
clock bakelike,1.6370220078527753,Return-indicative
bakelike,1.6370220078527753,Return-indicative
feltcraft,-1.6327913513595624,Normal-indicative
baking cases,1.5743030593747158,Return-indicative
rustic,1.5662464160093286,Return-indicative
doiley,-1.5201808162456187,Normal-indicative
set red,-1.4889740703368763,Normal-indicative
heart light,1.4871755595501308,Return-indicative
airline,-1.4749487907351484,Normal-indicative
of wooden,1.4647797884482874,Return-indicative
pack,1.4619731731206291,Return-indicative
birthday,-1.4491491450103358,Normal-indicative
large,1.429673439059312,Return-indicative
retrospot,-1.4008577035865328,Normal-indicative
red,-1.3443021471990229,Normal-indicative
72,-1.291743740023542,Normal-indicative
purse,1.27435778050245,Return-indicative
christmas craft,1.2605116442267765,Return-indicative
hanging heart,-1.2546841214238071,Normal-indicative
sketchbook,-1.2432089316824402,Normal-indicative
doilies,-1.1883310766061472,Normal-indicative
trinket box,1.1850613728361536,Return-indicative
clock,-1.17280365878846,Normal-indicative
bunny,1.147522130683078,Return-indicative
home,1.124212100244149,Return-indicative
spaceboy design,1.0650835215327144,Return-indicative
night light,1.062947793736411,Return-indicative
wreath,1.0481348572839315,Return-indicative
white,-1.0346309683487667,Normal-indicative
book,1.0158182073117799,Return-indicative
building,0.9976290881670656,Return-indicative
building block,0.9976290881670656,Return-indicative
word,0.9976290881670656,Return-indicative
block word,0.9976290881670656,Return-indicative
storage bag,-0.9519873274851268,Normal-indicative
jumbo storage,-0.9519873274851268,Normal-indicative
colour,0.9484242989508398,Return-indicative
girl design,0.910516368851593,Return-indicative
french,0.90004311792824,Return-indicative
sweetheart,-0.8464321550188169,Normal-indicative
gingham,-0.8162116348925528,Normal-indicative
bag,-0.7897654298401895,Normal-indicative
jar,-0.789398377875523,Normal-indicative
